BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Area,Intensity Variation
γ Coronae Borealis,,0.033,30.303,3.8,3.84,3.84,12000.0,15.712,26.296,15h 42m 44.6s,+26° 17′ 44″,0.44,0.46,0.43,6008.407781657549,57.0272
,,0.025,40.0,6.19,3.84,5.02,4700.0,18.395,21.77,18h 23m 41.9s,+21° 46′ 11″,1.89,2.56,2.07,5030.168848855146,0.2549
γ Serpentis,,0.069,14.493,4.3,3.85,4.33,6600.0,15.941,15.662,15h 56m 27.2s,+15° 39′ 42″,1.35,1.13,1.05,3661.421471444511,0.8201
α Scuti,,0.016,62.5,6.72,3.85,5.18,4550.0,18.587,-7.756,18h 35m 12.4s,-08° 14′ 39″,1.7,2.8,2.15,1830.354580860532,0.2608
θ Herculis,,0.002,500.0,6.67,3.86,5.21,4850.0,17.938,37.251,17h 56m 15.2s,+37° 15′ 02″,1.33,2.33,1.7,8209.629689333191,0.1358
κ Draconis,,0.013,76.923,3.17,3.87,3.74,18000.0,12.558,69.788,12h 33m 29.0s,+69° 47′ 18″,0.34,0.31,0.29,12727.549971302205,81.7958
τ Herculis,,0.03,33.333,3.18,3.89,3.74,20000.0,16.329,46.313,16h 19m 44.4s,+46° 18′ 48″,0.3,0.29,0.26,9807.536778658336,81.5914
η Cygni,,0.015,66.667,5.8,3.89,4.91,5000.0,19.938,35.083,19h 56m 18.4s,+35° 05′ 00″,1.76,2.11,1.77,7795.350504609412,0.5634
γ Librae,Zuben-el-Akrab,0.041,24.39,5.66,3.91,4.92,5200.0,15.592,-13.211,15h 35m 31.6s,-14° 47′ 22″,1.61,1.89,1.55,3099.5970815782334,1.3182
ε Herculis,,0.028,35.714,3.81,3.92,3.91,10000.0,17.005,30.926,17h 00m 17.4s,+30° 55′ 35″,0.61,0.55,0.55,6970.303632739395,46.2537
ζ Ursae Majoris,Mizar,0.047,21.277,4.17,3.95,4.08,9750.0,13.399,54.922,13h 23m 56.4s,+54° 55′ 18″,0.54,0.56,0.53,11099.340519124606,51.6829
,,-0.002,-500.0,3.37,3.97,3.99,20000.0,18.011,2.932,18h 00m 38.7s,+02° 55′ 54″,0.28,0.28,0.23,693.7436328002849,79.2866
,,,,4.0,3.98,3.97,9500.0,2.057,72.421,02h 03m 26.1s,+72° 25′ 17″,0.62,0.57,0.58,12929.37355573013,53.6679
,,0.014,71.429,6.53,3.98,5.5,4550.0,20.258,47.714,20h 15m 28.3s,+47° 42′ 52″,1.86,2.64,1.86,10033.64975875488,0.1229
,Alcor,0.045,22.222,4.25,4.01,4.17,8750.0,13.42,54.988,13h 25m 13.5s,+54° 59′ 17″,0.66,0.64,0.62,11108.31163664945,42.054
θ Draconis,,0.051,19.608,4.63,4.01,4.53,6300.0,16.031,58.565,16h 01m 53.3s,+58° 33′ 55″,1.33,1.15,1.08,11572.163571623447,3.8386
ε Aquilae,,0.028,35.714,6.14,4.02,5.1,4850.0,18.994,15.068,18h 59m 37.4s,+15° 04′ 06″,1.7,2.16,1.79,3525.839449188105,0.2494
,,0.021,47.619,6.15,4.02,5.11,4850.0,19.028,-4.261,19h 01m 40.8s,-05° 44′ 20″,1.69,2.16,1.78,1007.7104084227492,0.3982
,,0.201,4.975,5.43,4.03,4.89,5000.0,18.091,2.499,18h 05m 27.3s,+02° 29′ 58″,2.09,1.98,1.78,591.3616527191226,0.7106
,,0.0,,7.04,4.04,5.63,2750.0,18.922,43.946,18h 55m 20.1s,+43° 56′ 46″,25.24,17.45,18.19,9412.267402209345,0.0009
θ Boötis,Asellus Primus,0.072,13.889,4.56,4.05,4.55,6450.0,14.42,51.851,14h 25m 11.8s,+51° 51′ 03″,1.28,1.08,1.0,10665.829362575872,5.2338
μ Cephei,Garnet Star,0.003,333.333,8.85,4.08,6.43,3200.0,21.725,58.78,21h 43m 30.4s,+58° 46′ 48″,3.99,8.67,5.47,11598.624616543615,0.0091
κ Serpentis,,0.021,47.619,7.66,4.09,5.71,3500.0,15.812,18.142,15h 48m 44.4s,+18° 08′ 30″,4.07,6.04,4.93,4223.070628429067,0.016
θ Coronae Borealis,,0.027,37.037,3.47,4.14,4.01,18000.0,15.549,31.359,15h 32m 55.8s,+31° 21′ 33″,0.3,0.28,0.25,7058.029208444486,80.7505
θ Librae,,0.036,27.778,5.98,4.15,5.17,5200.0,15.897,-15.271,15h 53m 49.5s,-16° 43′ 46″,1.39,1.69,1.38,3572.2180775505954,1.3635
ε Coronae Borealis,,0.024,41.667,6.66,4.15,5.38,4700.0,15.96,26.878,15h 57m 35.3s,+26° 52′ 40″,1.52,2.22,1.75,6131.606869917241,0.1656
λ Boötis,,0.045,22.222,4.31,4.18,4.26,10000.0,14.273,46.088,14h 16m 23.0s,+46° 05′ 18″,0.48,0.49,0.47,9770.673086198598,58.2832
,,0.052,19.231,4.66,4.19,4.65,6600.0,18.761,20.546,18h 45m 39.7s,+20° 32′ 47″,1.14,0.97,0.9,4759.967268059075,4.7228
σ Herculis,,0.01,100.0,4.09,4.2,4.19,12000.0,16.568,42.437,16h 34m 06.2s,+42° 26′ 13″,0.39,0.39,0.37,9151.84962545694,69.9772
φ Draconis,,0.012,83.333,3.79,4.22,4.12,10000.0,18.346,71.338,18h 20m 45.5s,+71° 20′ 16″,0.62,0.48,0.5,12849.642039252123,64.3235
