BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,Diameter_U,Diameter_V,Diameter_B
,,,,6.260000000000001,6.71,6.65,14000.0,6.414611111111111,29.70722222222222,0.11,0.1,0.1
,,,,6.75,6.71,6.75,9750.0,6.449638888888889,0.8408333333333333,0.17,0.16,0.16
,,0.01,100.0,7.3,6.71,7.26,6450.0,10.986916666666666,-80.44388888888889,0.36,0.32,0.29
,,,,,6.71,7.89,5400.0,16.780916666666666,-24.47138888888889,,0.47,0.35
,,,,6.39,6.71,6.67,12000.0,20.239333333333335,42.103611111111114,0.13,0.12,0.12
,,,,7.17,6.71,7.1899999999999995,6900.0,22.79641666666667,-37.778055555555554,0.32,0.28,0.25
,,,,6.8500000000000005,6.7,6.7700000000000005,9750.0,0.08608333333333333,45.22916666666667,0.16,0.16,0.15
,,,,6.49,6.7,6.69,9750.0,0.5407777777777778,43.49472222222222,0.19,0.16,0.16
,,,,6.45,6.7,6.62,12000.0,1.6472222222222221,-24.978055555555557,0.13,0.12,0.12
,,0.008,125.0,8.21,6.7,7.62,5200.0,4.726416666666667,-7.203888888888889,0.5,0.52,0.45
θ¹ Orionis,,0.001,1000.0,6.08,6.7,6.79,30000.0,5.5881388888888885,-4.612222222222222,0.06,0.06,0.05
,,0.003,333.3333333333333,,6.7,7.78,4850.0,5.879916666666667,-37.47416666666667,,0.63,0.52
,,0.009,111.11111111111111,6.9,6.7,6.930000000000001,10000.0,8.303500000000001,-36.62583333333333,0.15,0.15,0.14
,,,,6.0200000000000005,6.7,6.57,22000.0,8.491,-26.6675,0.08,0.07,0.07
,,,,,6.7,7.19,6750.0,9.644638888888888,-38.38583333333333,,0.29,0.27
,,,,7.0600000000000005,6.7,6.970000000000001,7500.0,9.995305555555555,3.3847222222222224,0.26,0.24,0.23
,,,,6.7,6.7,6.7,10000.0,10.0615,-24.683333333333334,0.16,0.15,0.15
,,,,,6.7,6.75,9750.0,19.440166666666666,-13.448888888888888,,0.16,0.16
,,,,6.22,6.7,6.63,14000.0,20.90619444444444,40.70305555555556,0.11,0.1,0.1
,,,,6.33,6.7,6.61,12000.0,21.540861111111113,23.394444444444446,0.14,0.12,0.12
,,,,,6.7,,2450.0,2.292611111111111,44.30694444444444,,9.28,
,,0.01,100.0,,6.7,,2450.0,16.429916666666667,18.8925,,9.28,
,,0.02,50.0,7.17,6.69,7.2,6300.0,0.6660833333333334,-32.038333333333334,0.41,0.34,0.31
,,,,6.81,6.69,6.71,9500.0,0.8815000000000001,38.54861111111111,0.17,0.16,0.17
,,,,,6.69,6.79,9000.0,5.899277777777777,-18.361666666666668,,0.18,0.17
,,,,10.73,6.69,8.64,3200.0,8.508222222222223,-35.278888888888886,1.68,2.61,1.98
κ¹ Boötis,,0.01,100.0,7.04,6.69,7.08,7350.0,14.224361111111111,51.78777777777778,0.28,0.25,0.23
,,0.01,100.0,,6.69,,2900.0,17.05838888888889,35.41416666666667,,4.01,
,,,,6.290000000000001,6.69,6.800000000000001,26000.0,18.501416666666668,4.065277777777777,0.06,0.07,0.05
,,,,,6.69,,12000.0,19.017555555555553,-36.93916666666667,,0.12,
,,,,6.02,6.69,6.71,26000.0,19.022944444444445,20.83361111111111,0.07,0.07,0.06
,,0.012,83.33333333333333,7.0200000000000005,6.69,7.140000000000001,6900.0,23.396527777777777,32.53138888888889,0.34,0.28,0.26
,,,,5.989999999999999,6.68,6.56,22000.0,7.523833333333333,-35.84722222222222,0.08,0.07,0.07
,,,,,6.68,7.66,5200.0,11.295277777777777,-35.46555555555556,,0.53,0.44
,,,,7.069999999999999,6.68,6.989999999999999,7350.0,13.273750000000001,-0.6094444444444445,0.28,0.25,0.24
,,,,8.87,6.68,7.96,2450.0,13.550194444444445,-6.805,26.2,9.36,12.84
,,0.024,41.666666666666664,7.609999999999999,6.68,7.359999999999999,5500.0,15.212083333333332,19.285833333333336,0.53,0.46,0.43
,,,,9.530000000000001,6.68,8.07,4550.0,17.76625,39.322500000000005,0.47,0.76,0.57
,,,,6.159999999999999,6.68,6.569999999999999,20000.0,17.834249999999997,48.39416666666666,0.08,0.08,0.07
,,,,8.5,6.68,7.81,5900.0,18.53147222222222,-18.875,0.28,0.39,0.28
,,,,6.89,6.68,6.76,9250.0,19.300222222222224,31.022222222222222,0.17,0.17,0.17
,,,,,6.68,,9250.0,19.602222222222224,11.15,,0.17,
,,,,6.65,6.68,6.71,9750.0,21.175555555555558,22.454722222222223,0.17,0.16,0.16
,,,,7.319999999999999,6.68,7.26,6300.0,23.065916666666666,-3.2047222222222222,0.39,0.34,0.31
,,,,,6.67,,9500.0,0.5429166666666667,27.580555555555556,,0.17,
,,,,6.279999999999999,6.67,6.6,12000.0,5.194833333333333,0.5147222222222222,0.14,0.12,0.12
,,,,,6.67,8.22,4400.0,6.265888888888889,-28.211666666666666,,0.84,0.6
,,,,6.739999999999999,6.67,6.7299999999999995,9500.0,6.389638888888889,-3.3127777777777774,0.18,0.17,0.16
,,,,6.2,6.67,6.61,14000.0,8.481472222222223,-19.049722222222222,0.12,0.11,0.1
,,0.004,250.0,7.02,6.67,6.89,9500.0,8.924888888888889,-6.028888888888889,0.15,0.17,0.15
,,,,6.9799999999999995,6.67,6.88,7500.0,9.40625,36.58694444444445,0.27,0.24,0.24
,,0.012,83.33333333333333,,6.67,6.66,10000.0,10.793888888888889,-14.738055555555556,,0.16,0.15
,,,,7.01,6.67,6.9399999999999995,7750.0,11.266055555555555,12.844722222222222,0.25,0.23,0.22
,,,,6.28,6.67,6.66,14000.0,15.096583333333333,-24.210277777777776,0.11,0.11,0.1
,,,,,6.67,6.91,7750.0,19.577749999999998,48.164722222222224,,0.23,0.22
,,,,,6.66,,5000.0,5.070277777777777,73.76388888888889,,0.59,
,,,,6.31,6.66,6.59,12000.0,5.009416666666667,3.616111111111111,0.14,0.12,0.12
,,,,6.970000000000001,6.66,6.8100000000000005,9500.0,5.263055555555556,-33.07333333333334,0.16,0.17,0.16
,,,,,6.66,6.51,24000.0,6.114416666666666,-10.82638888888889,,0.07,0.06
,,,,6.4,6.66,6.62,12000.0,6.421777777777778,1.501111111111111,0.13,0.12,0.12
,,0.026,38.46153846153846,7.180000000000001,6.66,6.98,8250.0,10.29738888888889,71.06055555555555,0.2,0.21,0.19
,,,,5.91,6.66,6.58,26000.0,10.350555555555555,2.289722222222222,0.07,0.07,0.06
,,,,6.78,6.66,6.73,9500.0,11.305833333333334,11.98472222222222,0.17,0.17,0.16
,,,,7.03,6.66,7.03,7500.0,13.451277777777777,64.73555555555555,0.27,0.24,0.22
σ Coronae Borealis,,0.045,22.22222222222222,,6.66,,5900.0,16.244666666666667,33.858333333333334,,0.39,
,,,,6.63,6.66,6.7,10000.0,17.853472222222223,-29.442777777777778,0.17,0.16,0.15
,,,,7.09,6.66,7.08,7350.0,18.638638888888888,-0.8866666666666667,0.27,0.25,0.23
,,,,5.82,6.66,6.5,26000.0,20.706166666666665,35.45611111111111,0.07,0.07,0.06
,,,,6.63,6.66,6.62,9750.0,20.890666666666664,42.41027777777778,0.18,0.16,0.16
,,,,6.91,6.66,7.04,6900.0,20.997444444444444,16.824166666666667,0.36,0.28,0.27
,,,,5.8999999999999995,6.66,6.72,30000.0,22.010916666666667,62.488055555555555,0.06,0.06,0.05
,,,,6.55,6.66,6.66,9750.0,22.305666666666667,76.48805555555556,0.18,0.16,0.16
,,,,5.930000000000001,6.66,6.61,26000.0,23.121694444444444,46.06805555555556,0.07,0.07,0.06
,,,,,6.65,6.58,10000.0,3.2698055555555556,-29.1725,,0.16,0.16
,,0.007,142.85714285714286,5.6,6.65,6.46,26000.0,5.646416666666666,-1.4058333333333333,0.08,0.07,0.06
,,,,6.88,6.65,6.82,8750.0,6.741722222222222,82.11527777777778,0.2,0.19,0.18
,,,,6.11,6.65,6.53,18000.0,6.527555555555556,11.792222222222222,0.09,0.09,0.08
,,,,10.15,6.65,8.23,3200.0,6.680361111111111,-46.32527777777778,2.19,2.65,2.39
,,,,5.65,6.65,6.46,26000.0,7.147027777777778,-23.95583333333333,0.08,0.07,0.06
,,,,6.13,6.65,6.54,14000.0,7.288277777777778,6.680555555555556,0.12,0.11,0.1
,,,,,6.65,7.28,5600.0,7.511777777777778,-36.66027777777778,,0.45,0.42
,,,,6.590000000000001,6.65,6.640000000000001,10000.0,7.574666666666666,-25.883333333333333,0.17,0.16,0.16
,,,,9.65,6.65,8.05,4250.0,8.151861111111112,-29.677500000000002,0.6,0.95,0.74
,,,,,6.65,6.8500000000000005,9250.0,9.460666666666667,-34.992222222222225,,0.17,0.16
,,,,,6.65,,5200.0,10.875222222222222,52.56527777777777,,0.54,
,,,,6.95,6.65,6.87,9500.0,12.479055555555556,25.899166666666666,0.16,0.17,0.15
,,,,6.840000000000001,6.65,6.7700000000000005,8750.0,13.85125,34.7725,0.2,0.19,0.19
,,,,7.15,6.65,7.11,6600.0,15.051833333333335,44.644444444444446,0.36,0.31,0.29
,,,,6.14,6.65,6.58,10000.0,16.142888888888887,-38.90694444444444,0.21,0.16,0.16
,,,,,6.65,8.450000000000001,4400.0,17.008972222222223,-44.54833333333333,,0.85,0.54
,,,,7.2,6.65,7.15,6600.0,17.21511111111111,0.35194444444444445,0.35,0.31,0.29
,,,,6.86,6.65,6.8500000000000005,12000.0,17.32347222222222,-43.776944444444446,0.11,0.13,0.11
,,,,,6.65,,2900.0,19.005277777777778,40.68416666666666,,4.08,
,,,,,6.65,7.0,7350.0,22.65233333333333,-51.30777777777778,,0.25,0.24
,,,,6.3500000000000005,6.65,6.590000000000001,14000.0,23.540166666666668,34.9525,0.11,0.11,0.1
,,,,7.069999999999999,6.64,7.01,7200.0,0.17738888888888887,-72.77555555555556,0.29,0.26,0.25
,,,,6.88,6.64,6.76,9250.0,1.69475,-49.961111111111116,0.17,0.18,0.17
,,,,5.819999999999999,6.64,6.47,24000.0,6.263055555555556,4.283611111111111,0.08,0.07,0.07
,,,,7.209999999999999,6.64,7.199999999999999,6300.0,6.2516388888888885,-70.29722222222222,0.41,0.34,0.31
,,0.007,142.85714285714286,,6.64,10.0,3600.0,8.923027777777778,17.231388888888887,,1.68,0.6
,,,,10.379999999999999,6.64,8.34,3200.0,14.950388888888888,-50.55305555555556,1.97,2.67,2.27
,,,,6.56,6.64,6.659999999999999,10000.0,18.828888888888887,31.629166666666666,0.17,0.16,0.15
,,,,,6.64,6.91,7350.0,19.38561111111111,14.921111111111111,,0.25,0.25
,,,,6.26,6.64,6.6499999999999995,18000.0,19.677694444444445,23.717499999999998,0.08,0.09,0.08
,,0.018,55.55555555555556,7.489999999999999,6.64,7.319999999999999,5700.0,21.036833333333334,-42.99805555555555,0.5,0.43,0.39
,,,,6.17,6.63,6.54,14000.0,2.3270277777777775,39.835,0.12,0.11,0.1
,,,,7.109999999999999,6.63,7.01,7500.0,5.903305555555556,-63.51777777777777,0.26,0.25,0.23
,,,,6.17,6.63,6.56,14000.0,5.993805555555555,-0.5555555555555556,0.12,0.11,0.1
,,,,6.14,6.63,6.58,18000.0,6.272555555555556,1.0802777777777777,0.09,0.09,0.08
,,,,6.789999999999999,6.63,6.6899999999999995,9250.0,7.0281666666666665,4.8180555555555555,0.18,0.18,0.17
,,,,6.63,6.63,6.61,9750.0,8.683777777777777,-8.948055555555555,0.18,0.16,0.17
,,,,,6.63,,9000.0,11.212361111111111,54.89416666666666,,0.18,
